事件分组,事件名称,事件中文名,CSV属性数,事件样本数,事件级判定,ext属性命中数,personal属性命中数,双字段命中数,未命中属性数,样本ext键,样本personal键
World,WorldMarchRet,世界出征结果,18,30,personal 为主,0,14,0,4,,"country, ed_targetPosition, ed_mainBuildingLevel, ed_allianceId, ed_estimatedSeconds, ed_myTeamBattlePower, ed_marchType, channel, ed_myTeamArmy, ed_nowPosition, ed_result, ed_channel, ed_targetId, ed_collectResult, ed_myTeamHeroList, ed_marchId, ed_buffList, ed_language, ed_targetMetaId, ed_season, ed_kServerId, ed_serverId, ed_targetType"
Pay,ActivityWheelCount,幸运转盘次数,5,0,样本未覆盖,0,0,0,5,,
video,DeeplinkSetAdCategory,deeplink设置广告,0,0,样本未覆盖,0,0,0,0,,
Pay,PayBuyRet,充值,10,24,personal 为主,0,10,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_popupFirstId, ed_num, ed_mainBuildingLevel, ed_resVersion, ed_popupSourceName, ed_popupName, ed_level, ed_popupSourceId, ed_currency, ed_isSuccess, ed_popupId, ed_popupFirstName, ed_productId, ed_money, ed_orderId, ed_payId, ed_localCurrency, ed_kServerId, ed_season, ed_localMoney, ed_serverId, ed_popupSourceButton"
Block,BattleFieldGrid,内城关卡地格进度,2,30,personal 为主,0,2,0,0,,"country, ed_mainBuildingLevel, ed_channel, channel, ed_language, ed_season, ed_kServerId, ed_serverId, npcId"
video,VideoWatchReward,看视频,1,0,样本未覆盖,0,0,0,1,,
video,VideoGetReward,获取普通奖励,1,0,样本未覆盖,0,0,0,1,,
video,VideoRewardPanel,看视频页面打开,0,0,样本未覆盖,0,0,0,0,,
Pay,PayBuyRetSandBox,沙盒支付成功,0,15,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_num, ed_popupFirstId, ed_mainBuildingLevel, ed_resVersion, ed_popupSourceName, ed_popupName, ed_level, ed_popupSourceId, ed_currency, ed_isSuccess, ed_popupId, ed_popupFirstName, ed_productId, ed_money, ed_orderId, ed_payId, ed_localCurrency, ed_season, ed_kServerId, ed_localMoney, ed_serverId, ed_popupSourceButton"
Pay,PayBuyRetBenifit,福利金支付成功,0,24,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_popupFirstId, ed_num, ed_mainBuildingLevel, ed_resVersion, ed_popupSourceName, ed_popupName, ed_level, ed_popupSourceId, ed_currency, ed_isSuccess, ed_popupId, ed_popupFirstName, ed_productId, ed_money, ed_orderId, ed_payId, ed_localCurrency, ed_kServerId, ed_season, ed_localMoney, ed_serverId, ed_popupSourceButton, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Pay,ep_get_product_details_failed,获取商品详情失败,2,1,personal 为主,0,2,0,0,,"ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version, productType, billingCode, message"
Battle,PVEInstanceFPS_10_20,PVEInstanceFPS_10_20,2,30,personal 为主,0,2,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, instanceId, ed_resVersion, fps, ed_season, instanceGuid, ed_kServerId, ed_serverId"
Login,ABTest,ABtest,1,0,样本未覆盖,0,0,0,1,,
User,GuideJump,点击引导跳过,3,0,样本未覆盖,0,0,0,3,,
User,TimelinePause,Timeline暂停,4,30,personal 为主,0,3,0,1,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_resVersion, ed_kServerId, ed_season, timeline_name, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
User,NewUserStep,新手引导后端,4,0,样本未覆盖,0,0,0,4,,
User,PVEEnterScene,当玩家通过各种方式进入PVE关卡场景时打点,3,30,personal 为主,0,3,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, instanceId, ed_resVersion, ed_kServerId, ed_season, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Activity,ArenaRefresh,竞技场刷新,1,0,样本未覆盖,0,0,0,1,,
Activity,ArenaResults,巅峰竞技场战力结算,5,18,personal 为主,0,5,0,0,,"country, ed_mainBuildingLevel, rankBeforeBattle, rankAfterBattle, channel, currentRemainingAttempts, ed_channel, arenaBattleResults, combatPower, ed_language, ed_season, ed_kServerId, ed_serverId, playerId"
Login,EnterGame,进入游戏,4,30,personal 为主,0,4,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_resVersion, ed_level, ed_isSuccess, ed_kServerId, ed_season, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,GameServerLogin,请求登录游戏服成功,2,0,样本未覆盖,0,0,0,2,,
Login,GameServerLoginFail,请求登录游戏服失败,1,0,样本未覆盖,0,0,0,1,,
Login,ConnectGameServer,开始连接游戏网关服,1,0,样本未覆盖,0,0,0,1,,
Login,ConnectGameServerBack,连接游戏网关服回调,1,0,样本未覆盖,0,0,0,1,,
Login,EPSDKLogin,EPSDK 登录,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,GameInitState_OnEnter,进入游戏初始化状态,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,GotoLuaInitEnd,进入lua逻辑,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitAtlasSpriteData,图集初始化,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitManagers_End,Manager初始化结束,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitManagers_Start,Manager初始化开始,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitShader_Start,shader初始化,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitXmlManager,配置初始化开始,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitXmlManager_End,配置初始化结束,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,LoadingFinish,整个游戏初始化结束,2,30,样本未发现 CSV 属性,0,0,0,2,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,LocalFunction,热更模块结束，开始切游戏初始化状态,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,OnInitAtlasSpriteData,图集初始化结束,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,OnInitShaderEnd,shader初始化结束,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,SDK_AccountCallback,SDK回调,1,30,personal 为主,0,1,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, code, ed_resVersion, ed_kServerId, ed_season, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,DownMainfestFailed,CDN请求FileList失败才会有，本地加载不会有,0,6,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion"
Login,E_UpdateConfig_Fail,配置更新失败，有更新时才会有,0,6,CSV 未定义属性,0,0,0,0,,"ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version, gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion"
Login,E_UpdateConfig_Suc,配置更新成功，有更新时才会有,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,E_UpdateResource_Fail,更新失败，FileList获取失败，也可能走这里,0,16,CSV 未定义属性,0,0,0,0,,"ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version, gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion"
Login,E_UpdateResource_Suc,更新成功，也可能没有更新，但必定会打,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitMainfestSunc,初始化目标版本FileList成功，本地读取、CDN请求都会有,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,InitServerMainfest,初始化目标版本FileList，可能会请求CDN,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,OnResInitializeEnd,资源初始化,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,S_UpdateConfig,开始配置更新，有更新时才会有,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,S_UpdateResource,开始更新资源文件，有更新才触发,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,UpdateFullSuccess,完全更新成功，资源有更新才会触发，更新成功后删除冗余资源也在这里进行,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Activity,ActivityLimitRallyMonster,玩家向限时集结怪进攻的目标id,1,0,样本未覆盖,0,0,0,1,,
Activity,ActivityWorldBoss,玩家向世界Boss进攻完成的目标id,1,0,样本未覆盖,0,0,0,1,,
Activity,WorldBunker,迁城,9,30,personal 为主,0,7,0,2,,"country, ed_mainBuildingLevel, ed_allianceId, channel, moveProvinceId, relocateProvinceId, ed_channel, ed_language, position, ed_season, ed_kServerId, ed_serverId, bunkerType"
Activity,activityCommanderAlliancePer,参与活动不同难度选择联盟数量,2,0,样本未覆盖,0,0,0,2,,
Activity,activityCommanderAllianceTroubleNum,挑战的难度联盟数量（挑战中未全部完成）,2,0,样本未覆盖,0,0,0,2,,
Activity,activityCommanderPer,参与活动不同难度的选择人数,2,0,样本未覆盖,0,0,0,2,,
Activity,activityCommanderTroubleNum,玩家挑战的不同难度人数（挑战中未全部完成）,2,0,样本未覆盖,0,0,0,2,,
Activity,ActivityArmsRaceTask,任务完成积分变化时,5,30,personal 为主,0,5,0,0,,"country, activityId, ed_mainBuildingLevel, ed_channel, pointChange, channel, pointTotal, ed_language, pointType, ed_season, ed_kServerId, ed_serverId"
Activity,ActivityArmsRaceBoxOpen,积分宝箱发放,3,30,personal 为主,0,3,0,0,,"country, activityId, rewardId, ed_mainBuildingLevel, ed_channel, rewardIdMail, channel, ed_language, ed_season, ed_kServerId, ed_serverId"
Activity,ActivityArmsRaceGoalPoint,战备勋章结算（跨天重置前）,3,26,personal 为主,0,2,0,1,,"country, ed_mainBuildingLevel, armsRaceBadgeCount, ed_channel, channel, ed_language, ed_season, ed_kServerId, ed_serverId"
User,ClickButton,点击按钮,3,30,personal 为主,0,2,0,1,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_clickUiName, ed_clickUiTime"
User,NewUserGuide,新手引导结束,4,30,personal 为主,0,4,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_guideId, ed_resVersion, ed_kServerId, ed_season, ed_serverId"
User,NewUserGuideStart,新手引导开始,3,30,personal 为主,0,3,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_guideId, ed_resVersion, ed_kServerId, ed_season, ed_serverId"
Activity,honorExpedition,荣耀远征,6,30,personal 为主,0,4,0,2,,"expeditionId , expeditionDungeon, country, ed_mainBuildingLevel, ed_channel, channel, ed_language, stageLevel , ed_season, ed_kServerId, ed_serverId, expeditionDungeonResult"
User,DungeonMiniGame,探索副本小玩法,4,0,样本未覆盖,0,0,0,4,,
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,5,30,personal 为主,0,5,0,0,,"ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version, gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, instanceId, ed_resVersion, npcClass, instanceGuid, ed_kServerId, ed_season, ed_serverId, npcId"
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,6,30,personal 为主,0,6,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, castType, skillId, ed_mainBuildingLevel, instanceId, skillType, ed_resVersion, ed_kServerId, ed_season, instanceGuid, skillLevel, ed_serverId"
User,DungeonEventEnd,副本事件结束,7,0,样本未覆盖,0,0,0,7,,
User,MobStageResult,mob关卡通过情况,5,0,样本未覆盖,0,0,0,5,,
User,TimelineEnd,Timeline结束,4,30,personal 为主,0,4,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_resVersion, time, ed_kServerId, ed_season, timeline_name, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
User,TimelineStart,Timeline开始,3,30,personal 为主,0,3,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_resVersion, ed_kServerId, ed_season, timeline_name, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,Launch,游戏启动,6,30,样本未发现 CSV 属性,0,0,0,6,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,LaunchVersion,WerbServer请求游戏版本信息,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,LaunchVersionRet,WerbServer平台版本信息返回,1,30,personal 为主,0,1,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_Source, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Login,LoadingStart,Unity闪屏后第一个点 （中台技术实现）,0,30,CSV 未定义属性,0,0,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Activity,ActivityAllianceBossBattleRet,联盟boss活动战斗结果,8,0,样本未覆盖,0,0,0,8,,
Activity,ActivityAllianceBossChoose,联盟boss活动选择难度,7,11,personal 为主,0,7,0,0,,"challengeLevel, country, ed_mainBuildingLevel, ed_allianceId, selectTime, channel, activityId, ed_channel, alliancePermission, monsterId, ed_language, ed_season, ed_kServerId, ed_serverId, playerId"
Activity,ActivityAllianceBossDonation,联盟boss活动捐献,9,30,personal 为主,0,9,0,0,,"challengeLevel, country, ed_mainBuildingLevel, donationQuantity, ed_allianceId, selectTime, channel, donationBuffLevelBefore, activityId, ed_channel, donationBuffLevelAfter, alliancePermission, ed_language, ed_season, ed_kServerId, ed_serverId, playerId"
Activity,ActivityAllianceBossReward,联盟boss活动结算奖励,9,12,personal 为主,0,9,0,0,,"challengeLevel, country, ed_mainBuildingLevel, magnification, ed_allianceId, selectTime, rewardType, channel, activityId, rewardId, totalDamage, ed_channel, rewardRank, ed_language, ed_season, ed_kServerId, ed_serverId"
Activity,multipleArena,3v3竞技场挑战结果,7,21,personal 为主,0,7,0,0,,"multipleArenaBattleResults, country, ed_mainBuildingLevel, rankBeforeBattle, rankAfterBattle, channel, currentRemainingAttempts, ed_channel, combatPower, ed_language, ed_season, ed_kServerId, ed_serverId, playerId"
FightForCities,AllianceDeclareWar,据点争夺联盟宣战,7,3,personal 为主,0,7,0,0,,"country, ed_mainBuildingLevel, cityLevel, channel, cityId, attackAllianceId, defAllianceId, ed_channel, occupiedCitiesNum, ed_language, ed_season, ed_kServerId, ed_serverId"
FightForCities,CancleGiveUpOccupiedCities,据点争夺取消放弃所占领的城市,7,0,样本未覆盖,0,0,0,7,,
FightForCities,FightForCitiesRet,据点争夺城皮归零结算（宣战方的）,13,3,personal 为主,0,13,0,0,,"country, ed_mainBuildingLevel, joinNum, originalAllianceId, cityLevel, channel, fightResult, cityId, allianceId, winAllianceId, ifFirstOccupy, ed_channel, occupiedCitiesNum, ed_language, getScore, ed_season, ed_kServerId, ed_serverId, uniqueId"
FightForCities,FightForCitiesTimeOver,据点争夺宣战耗时结束,8,0,样本未覆盖,0,0,0,8,,
FightForCities,GiveUpOccupiedCities,据点争夺发起放弃占领的城市,7,2,personal 为主,0,7,0,0,,"country, ed_mainBuildingLevel, cityLevel, channel, cityId, allianceId, ed_channel, occupiedCitiesNum, ed_language, ed_season, ed_kServerId, ed_serverId, allianIdentity"
FightForCities,GiveUpOccupiedCitiesSuccess,据点争夺成功放弃占领的城市,6,2,personal 为主,0,6,0,0,,"allianceId, country, ed_mainBuildingLevel, ed_channel, occupiedCitiesNum, cityLevel, channel, ed_language, cityId, ed_season, ed_kServerId, ed_serverId"
Battle,PVERetry,当关卡失败后，点击结算界面的重新挑战后打点,3,30,personal 为主,0,3,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, instanceId, ed_resVersion, ed_kServerId, ed_season, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Radar,RadarMissionFail,雷达任务失败,4,30,personal 为主,0,4,0,0,,"ed_dungeonId, country, ed_mainBuildingLevel, ed_channel, channel, ed_language, ed_season, ed_kServerId, ed_radarMissionId, ed_serverId"
Shop,ShopBuyComplete,商店购买,6,0,样本未覆盖,0,0,0,6,,
Battle,SwitchSceneStart,开始切场景,4,30,personal 为主,0,4,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, ed_resVersion, SceneNow, SceneTarget, ed_kServerId, ed_season, ed_serverId, ep_play_store_version, ep_game_id, ep_channel, ep_play_services_available, ep_pkg_id, ep_play_services_version"
Battle,TrainingArenaResults,竞技场挑战结果,7,0,样本未覆盖,0,0,0,7,,
Idle,IdleBoxOpenTimes,挂机宝箱开启,5,0,样本未覆盖,0,0,0,5,,
Idle,IdleGetReward,挂机领取奖励,5,30,personal 为主,0,5,0,0,,"country, ed_mainBuildingLevel, ed_channel, channel, ed_idleGetRewardBox, ed_language, ed_idleGetRewardRes, ed_season, ed_kServerId, ed_serverId, ed_idleGetRewardTime"
Idle,IdleStageId,挂机推关数,3,30,personal 为主,0,3,0,0,,"country, ed_mainBuildingLevel, ed_channel, channel, ed_idleStageId, ed_language, ed_season, ed_kServerId, ed_serverId"
Battle,PVEInstanceResult,PVE关卡战斗结算,8,30,personal 为主,0,8,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, result, ed_mainBuildingLevel, instanceId, ed_resVersion, killinfos, ed_season, ed_kServerId, ed_serverId, mechLevel, totalPower, Heros, instanceGuid"
Battle,PVEInstanceStart,PVE关卡战斗开始,7,30,personal 为主,0,7,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, ed_mainBuildingLevel, instanceId, ed_resVersion, ed_kServerId, ed_season, instanceGuid, ed_serverId, totalPower, mechLevel, Heros"
Alliance,AllianceGiftDistribute,联盟礼物发放,7,0,样本未覆盖,0,0,0,7,,
Alliance,AllianceGiftReceive,联盟礼物领取,7,0,样本未覆盖,0,0,0,7,,
Alliance,AllianceMilestones,联盟里程碑结束,10,30,personal 为主,0,5,0,5,,"country, ed_status, ed_mainBuildingLevel, ed_ServerId, ed_allianceId, channel, ed_allianceName, ed_startTime, ed_channel, ed_cur_progress, ed_allianceOwnerId, ed_finishTime, ed_language, ed_season, ed_kServerId, ed_serverId, ed_milestonesId, ed_total_progress"
Alliance,AllianceTechnologyDonation,联盟捐献,10,30,personal 为主,0,10,0,0,,"country, ed_maxMemberNumber, ed_mainBuildingLevel, ed_allianceId, ed_allianceLanguage, channel, ed_techLevel, ed_allianceName, ed_currentMemberNumber, ed_critical, ed_donationCount, ed_alliancePoint, ed_allianceOwnerId, ed_serverId, ed_allianceOServerid, ed_alliancePointGet, ed_researchPoints, ed_techId, ed_requireMainBuildingLevel, ed_requirePower, ed_memberPoint, ed_needApply, ed_donationType, ed_playerLevel, ed_recommend"
Alliance,AllianceTechRecommend,联盟推荐,8,16,personal 为主,0,6,0,2,,"country, ed_maxMemberNumber, ed_mainBuildingLevel, ed_techId, ed_allianceId, ed_allianceLanguage, channel, ed_techLevel, ed_allianceName, ed_currentMemberNumber, ed_requireMainBuildingLevel, ed_requirePower, ed_needApply, ed_allianceOwnerId, ed_serverId, ed_allianceOServerid, ed_playerLevel"
Alliance,CreateAlliance,创建联盟,10,3,personal 为主,0,9,0,1,,"country, ed_maxMemberNumber, ed_mainBuildingLevel, ed_allianceId, ed_allianceLanguage, channel, ed_allianceFlag, ed_allianceName, ed_currentMemberNumber, ed_requireMainBuildingLevel, ed_allianceTag, ed_requirePower, ed_needApply, ed_allianceOwnerId, ed_serverId, ed_allianceOServerid, ed_playerLevel"
Army,ArmyUpgrade,兵种升级,8,30,personal 为主,0,8,0,0,,"country, ed_mainBuildingLevel, ed_count, channel, ed_oldArmyLevel, ed_newArmyLevel, ed_newArmyId, ed_oldArmyId, ed_channel, ed_language, ed_isInstant, ed_season, ed_kServerId, ed_serverId"
Building,BuildingIdleUpgrade,内城建筑升级,4,0,样本未覆盖,0,0,0,4,,
Building,BuildingUpgrade,建筑创建/升级,8,30,personal 为主,0,7,0,1,,"country, ed_mainBuildingLevel, channel, ed_metaId, ed_oldLevel, ed_newLevel, ed_channel, ed_language, ed_buildingId, ed_isInstant, ed_season, ed_kServerId, ed_serverId"
