事件分组,事件名称,事件中文名,属性名称,属性中文名,属性数据类型,判定位置,ext命中样本数,personal命中样本数,事件样本数,ext样例值,personal样例值
Activity,WorldCupRoll,世界杯投掷,rollNum,投掷的点数,数字,样本未发现,0,0,0,,
Activity,WorldCupRoll,世界杯投掷,eventId,事件ID,数字,样本未发现,0,0,0,,
Activity,WorldCupRoll,世界杯投掷,tileId,地格ID,数字,样本未发现,0,0,0,,
Activity,WorldCupRoll,世界杯投掷,rollType,投掷类型,数字,样本未发现,0,0,0,,
Activity,WorldCupRoll,世界杯投掷,activityId,活动ID,数字,样本未发现,0,0,0,,
Alliance,GiftJump,联盟礼物跳转,rechargeId,礼包id,字符串,样本未发现,0,0,0,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,ed_allianceOwnerId,盟主Uid,字符串,样本未发现,0,0,0,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,ed_allianceName,联盟名称,字符串,样本未发现,0,0,0,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,ed_allianceTakeGift,领取的联盟礼物ID及数量,字符串,样本未发现,0,0,0,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,ed_allianceId,联盟Id,字符串,样本未发现,0,0,0,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,ed_registDay,注册日,字符串,样本未发现,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,ed_taskGroup,任务组,字符串,样本未发现,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,ed_taskId,任务ID,字符串,样本未发现,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,ed_activityId,活动ID,字符串,样本未发现,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,ed_totalPoint,总积分,数字,样本未发现,0,0,0,,
Pay,ep_pay_start,开始调用谷歌支付接口 拉起谷歌支付界面（中台支付流程）,payId,payId,字符串,personal,0,30,30,,bb3509a1c4ff422bb3999c0c6fe4f944 | 0d4185a8649c1a7f4bf324761ea820d6 | 03d1d74b548f76536a8f81a78181d775
Pay,ep_pay_purchase_finish,玩家支付完成，商店/三方给到回调,code,code,字符串,personal,0,30,30,,0 | 52007 | 52007
Pay,ep_pay_purchase_finish,玩家支付完成，商店/三方给到回调,payId,payId,字符串,personal,0,30,30,,bb3509a1c4ff422bb3999c0c6fe4f944 | 0d4185a8649c1a7f4bf324761ea820d6 | 03d1d74b548f76536a8f81a78181d775
World,WorldMarchRet,世界出征结果,ed_result,战斗结果（4胜利 6失败）,字符串,personal,0,30,30,,4 | 4 | 4
World,WorldMarchRet,世界出征结果,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,9 | 9 | 9
World,WorldMarchRet,世界出征结果,ed_myTeamBattlePoint,出征战力,字符串,样本未发现,0,0,30,,
World,WorldMarchRet,世界出征结果,ed_myTeamHeroList,出征英雄,字符串,personal,0,30,30,,"[{""heroStarLevel"": 3, ""heroPower"": 63693, ""skillList"": [{""starSkill"": 13031, ""battleSkillLevel"": 1}, {""starSkill"": 13032 | [{""heroStarLevel"": 2, ""heroPower"": 74434, ""skillList"": [{""starSkill"": 14091, ""battleSkillLevel"": 1}, {""starSkill"": 14092 | [{""heroStarLevel"": 3, ""heroPower"": 63693, ""skillList"": [{""starSkill"": 13031, ""battleSkillLevel"": 1}, {""starSkill"": 13032"
World,WorldMarchRet,世界出征结果,ed_NowPosition,当前坐标点,字符串,样本未发现,0,0,30,,
World,WorldMarchRet,世界出征结果,ed_reallySeconds,实际行军时间,字符串,样本未发现,0,0,30,,
World,WorldMarchRet,世界出征结果,ed_targetId,目标id,字符串,personal,0,30,30,,1061688033180418048 | 1061687981640810496 | 1061687844201857024
World,WorldMarchRet,世界出征结果,ed_myTeamArmy,出征士兵,字符串,personal,0,30,30,,"[{""soldierId"": 401001, ""count"": 312}] | [{""soldierId"": 401002, ""count"": 221}, {""soldierId"": 401003, ""count"": 121}, {""soldierId"": 401001, ""count"": 112}] | [{""soldierId"": 401001, ""count"": 334}]"
World,WorldMarchRet,世界出征结果,ed_allianceId,联盟id,字符串,personal,0,30,30,,9341463610 | 9341463610 | 9341463610
World,WorldMarchRet,世界出征结果,ed_marchId,本次出征/集结的唯一id，与世界玩法相关联的行为（如战损/出征结果等）内的uuid一致,字符串,personal,0,30,30,,1058510067155894272 | 1059219973710315520 | 1058510067155894272
World,WorldMarchRet,世界出征结果,ed_collectResult,采集结果,字符串,personal,0,30,30,,[] | [] | []
World,WorldMarchRet,世界出征结果,ed_estimatedSeconds,预计耗时（秒）,字符串,personal,0,30,30,,1763596760989 | 1763596756641 | 1763596735212
World,WorldMarchRet,世界出征结果,ed_targetPosition,目标坐标点,字符串,personal,0,30,30,,"21.0,121.0 | 20.0,120.0 | 22.0,121.0"
World,WorldMarchRet,世界出征结果,ed_buffList,玩家所带BUFF,字符串,personal,0,30,30,,"[{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, "" | [{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, "" | [{""buffId"": 9041003, ""num"": 200}, {""buffId"": 9040202, ""num"": 43}, {""buffId"": 9041103, ""num"": 100}, {""buffId"": 9040302, """
World,WorldMarchRet,世界出征结果,ed_targetMetaId,目标配置id,字符串,personal,0,30,30,,11212 | 11113 | 11212
World,WorldMarchRet,世界出征结果,ed_battleResult,战斗结果,字符串,样本未发现,0,0,30,,
World,WorldMarchRet,世界出征结果,ed_marchType,出征类型,字符串,personal,0,30,30,,ATTACK_NPC | ATTACK_NPC | ATTACK_NPC
World,WorldMarchRet,世界出征结果,ed_targetType,目标类型,字符串,personal,0,30,30,,NPC | NPC | NPC
Pay,ActivityWheelCount,幸运转盘次数,drawNum,转盘次数,数字,样本未发现,0,0,0,,
Pay,ActivityWheelCount,幸运转盘次数,countChange,次数变更,数字,样本未发现,0,0,0,,
Pay,ActivityWheelCount,幸运转盘次数,countTotal,总次数,数字,样本未发现,0,0,0,,
Pay,ActivityWheelCount,幸运转盘次数,activityId,活动ID,字符串,样本未发现,0,0,0,,
Pay,ActivityWheelCount,幸运转盘次数,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Pay,PayBuyRet,充值,ed_productId,礼包ID,字符串,personal,0,24,24,,90217 | 83014 | 83013
Pay,PayBuyRet,充值,ed_popupName,面板名称,字符串,personal,0,22,24,,radar_main_panel | f_recharge_daily_group | f_recharge_daily_group
Pay,PayBuyRet,充值,ed_currency,"配置货币类型(国际标准货币单位简写,如USD、CNY)",字符串,personal,0,24,24,,USD | USD | USD
Pay,PayBuyRet,充值,ed_isSuccess,返回结果,字符串,personal,0,24,24,,True | True | True
Pay,PayBuyRet,充值,ed_localCurrency,"当地货币类型(国际标准货币单位简写,如USD、CNY)",字符串,personal,0,24,24,,CAD | EUR | CAD
Pay,PayBuyRet,充值,ed_localMoney,当地支付金额,数字,personal,0,24,24,,6.4899997711182 | 5.4899997711182 | 5.4899997711182
Pay,PayBuyRet,充值,ed_mainBuildingLevel,大本等级,字符串,personal,0,24,24,,21 | 18 | 17
Pay,PayBuyRet,充值,ed_money,配置金额,数字,personal,0,24,24,,4.99 | 4.99 | 3.99
Pay,PayBuyRet,充值,ed_num,购买数量,字符串,personal,0,24,24,,1 | 1 | 1
Pay,PayBuyRet,充值,ed_orderId,订单ID(支付平台),字符串,personal,0,24,24,,GPA.3393-0759-0525-83437 | GPA.3358-6895-9686-97349 | GPA.3302-3037-9814-48568
Block,BattleFieldGrid,内城关卡地格进度,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,7 | 9 | 9
Block,BattleFieldGrid,内城关卡地格进度,npcId,npcId,字符串,personal,0,30,30,,54 | 77 | 76
video,VideoWatchReward,看视频,metaId,广告的配置id,数字,样本未发现,0,0,0,,
video,VideoGetReward,获取普通奖励,metaId,广告配置id,数字,样本未发现,0,0,0,,
Pay,ep_get_product_details_failed,获取商品详情失败,billingCode,错误码,字符串,personal,0,1,1,,2
Pay,ep_get_product_details_failed,获取商品详情失败,message,错误信息,字符串,personal,0,1,1,,An internal error occurred.
Battle,PVEInstanceFPS_10_20,PVEInstanceFPS_10_20,fps,fps,数字,personal,0,30,30,,61 | 59 | 60
Battle,PVEInstanceFPS_10_20,PVEInstanceFPS_10_20,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,7 | 7 | 9
Login,ABTest,ABtest,ed_abtest,abtest分组,字符串,样本未发现,0,0,0,,
User,GuideJump,点击引导跳过,ed_guideId,引导步骤ID,字符串,样本未发现,0,0,0,,
User,GuideJump,点击引导跳过,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
User,GuideJump,点击引导跳过,ed_mainBuildingLevel,大本等级,数字,样本未发现,0,0,0,,
User,TimelinePause,Timeline暂停,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 1 | 2
User,TimelinePause,Timeline暂停,timeline_name,TimeLine资源名字,字符串,personal,0,30,30,,Zombie_SangShiXiuCheKaiChe | Zombie_DaChuJingXia | Zombie_BossShiXiao
User,TimelinePause,Timeline暂停,pause_time,暂停时间,字符串,样本未发现,0,0,30,,
User,TimelinePause,Timeline暂停,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,1 | 1 | 2
User,NewUserStep,新手引导后端,ed_guideGroup,引导组ID,字符串,样本未发现,0,0,0,,
User,NewUserStep,新手引导后端,ed_guideId,引导步骤ID,字符串,样本未发现,0,0,0,,
User,NewUserStep,新手引导后端,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
User,NewUserStep,新手引导后端,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
User,PVEEnterScene,当玩家通过各种方式进入PVE关卡场景时打点,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,23 | 7 | 7
User,PVEEnterScene,当玩家通过各种方式进入PVE关卡场景时打点,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
User,PVEEnterScene,当玩家通过各种方式进入PVE关卡场景时打点,instanceId,进入的PVE关卡ID,字符串,personal,0,30,30,,51105 | 99042 | 99041
Activity,ArenaRefresh,竞技场刷新,arenaRefresh,竞技场刷新,字符串,样本未发现,0,0,0,,
Activity,ArenaResults,巅峰竞技场战力结算,arenaBattleResults,战斗结果（1. 胜利、2. 失败）,字符串,personal,0,18,18,,1 | 1 | 1
Activity,ArenaResults,巅峰竞技场战力结算,combatPower,战斗时的玩家战力（统计上阵队伍）,字符串,personal,0,18,18,,732108 | 732108 | 732108
Activity,ArenaResults,巅峰竞技场战力结算,currentRemainingAttempts,当前剩余次数,字符串,personal,0,18,18,,5 | 4 | 3
Activity,ArenaResults,巅峰竞技场战力结算,rankAfterBattle,战斗后竞技场排名,字符串,personal,0,18,18,,178 | 178 | 178
Activity,ArenaResults,巅峰竞技场战力结算,rankBeforeBattle,战斗前竞技场排名,字符串,personal,0,18,18,,178 | 178 | 178
Login,EnterGame,进入游戏,ed_isSuccess,返回结果,字符串,personal,0,30,30,,True | True | True
Login,EnterGame,进入游戏,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 9 | 7
Login,EnterGame,进入游戏,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Login,EnterGame,进入游戏,ed_season,赛季,数字,personal,0,30,30,,0 | 0 | 0
Login,GameServerLogin,请求登录游戏服成功,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Login,GameServerLogin,请求登录游戏服成功,ed_season,赛季,字符串,样本未发现,0,0,0,,
Login,GameServerLoginFail,请求登录游戏服失败,code,错误码,字符串,样本未发现,0,0,0,,
Login,ConnectGameServer,开始连接游戏网关服,method,方法，0：正常域名连接 1：dns解析域名成功后的连接 2：兜底的ip连接,字符串,样本未发现,0,0,0,,
Login,ConnectGameServerBack,连接游戏网关服回调,result,错误码,字符串,样本未发现,0,0,0,,
Login,LoadingFinish,整个游戏初始化结束,ed_mainBuildingLevel,大本等级,数字,样本未发现,0,0,30,,
Login,LoadingFinish,整个游戏初始化结束,loading_costtime,耗时,字符串,样本未发现,0,0,30,,
Login,SDK_AccountCallback,SDK回调,code,错误码,字符串,personal,0,30,30,,0 | 0 | 0
Activity,ActivityLimitRallyMonster,玩家向限时集结怪进攻的目标id,monsterId,目标怪物ID,字符串,样本未发现,0,0,0,,
Activity,ActivityWorldBoss,玩家向世界Boss进攻完成的目标id,monsterId,目标怪物ID,字符串,样本未发现,0,0,0,,
Activity,WorldBunker,迁城,bunkerType,迁城类型,字符串,personal,0,30,30,,14 | 10 | 10
Activity,WorldBunker,迁城,ed_allianceId,联盟id,字符串,personal,0,30,30,,9341463610 | 0 | 0
Activity,WorldBunker,迁城,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,4 | 2 | 3
Activity,WorldBunker,迁城,moveProvinceId,迁城至所在省份ID,字符串,personal,0,30,30,,23 | 2 | 1
Activity,WorldBunker,迁城,position,位置坐标,字符串,personal,0,30,30,,"{""x"": 20, ""y"": 149} | {""x"": 124, ""y"": 996} | {""x"": 61, ""y"": 943}"
Activity,WorldBunker,迁城,relocateProvinceId,迁城至所在省份繁荣地ID：,字符串,personal,0,30,30,,1 | 1 | 1
Activity,WorldBunker,迁城,ed_blockId,省份地块id,字符串,样本未发现,0,0,30,,
Activity,WorldBunker,迁城,ed_prosperity,省份繁荣度,字符串,样本未发现,0,0,30,,
Activity,WorldBunker,迁城,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Activity,activityCommanderAlliancePer,参与活动不同难度选择联盟数量,activityCommanderPer,进行难度选择的联盟数量,字符串,样本未发现,0,0,0,,
Activity,activityCommanderAlliancePer,参与活动不同难度选择联盟数量,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Activity,activityCommanderAllianceTroubleNum,挑战的难度联盟数量（挑战中未全部完成）,activityCommanderTroubleNum,难度级别，已选当前难度的联盟数量,字符串,样本未发现,0,0,0,,
Activity,activityCommanderAllianceTroubleNum,挑战的难度联盟数量（挑战中未全部完成）,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Activity,activityCommanderPer,参与活动不同难度的选择人数,activityCommanderPer,进行难度选择的玩家数量,字符串,样本未发现,0,0,0,,
Activity,activityCommanderPer,参与活动不同难度的选择人数,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Activity,activityCommanderTroubleNum,玩家挑战的不同难度人数（挑战中未全部完成）,activityCommanderTroubleNum,难度级别，已选当前难度的人数,字符串,样本未发现,0,0,0,,
Activity,activityCommanderTroubleNum,玩家挑战的不同难度人数（挑战中未全部完成）,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
Activity,ActivityArmsRaceTask,任务完成积分变化时,activityId,活动ID,字符串,personal,0,30,30,,1994 | 1994 | 1994
Activity,ActivityArmsRaceTask,任务完成积分变化时,pointChange,积分变化,字符串,personal,0,30,30,,100 | 2200 | 100
Activity,ActivityArmsRaceTask,任务完成积分变化时,pointTotal,总积分,字符串,personal,0,30,30,,100 | 2200 | 100
Activity,ActivityArmsRaceTask,任务完成积分变化时,pointType,积分类型,字符串,personal,0,30,30,,3001 | 3001 | 3001
Activity,ActivityArmsRaceTask,任务完成积分变化时,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,7 | 23 | 9
Activity,ActivityArmsRaceBoxOpen,积分宝箱发放,activityId,活动ID,字符串,personal,0,30,30,,1993 | 1993 | 1993
Activity,ActivityArmsRaceBoxOpen,积分宝箱发放,rewardId,积分宝箱领取,字符串,personal,0,30,30,,[] | [] | [600115]
Activity,ActivityArmsRaceBoxOpen,积分宝箱发放,rewardIdMail,积分宝箱发放,字符串,personal,0,30,30,,"[600109, 600110, 600111] | [600109, 600110, 600111] | []"
Activity,ActivityArmsRaceGoalPoint,战备勋章结算（跨天重置前）,armsRaceBadgeChange,战备勋章变化,字符串,样本未发现,0,0,26,,
Activity,ActivityArmsRaceGoalPoint,战备勋章结算（跨天重置前）,armsRaceBadgeCount,战备勋章结算点数,字符串,personal,0,26,26,,3 | 1 | 12
Activity,ActivityArmsRaceGoalPoint,战备勋章结算（跨天重置前）,ed_mainBuildingLevel,大本等级,字符串,personal,0,26,26,,9 | 16 | 9
User,ClickButton,点击按钮,ed_clickUiName,按钮[路径],字符串,personal,0,30,30,,UICanvas/Canvas/FunctionLayer/recruit_panel/content/center/c_btm/btm/ten_draw_btn | UICanvas/Canvas/FunctionLayer/hero_list_panel/bottom/recruit_btn | UICanvas/Canvas/HudLayer/main_panel_new/middle_bot/heroBtn/herobtn
User,ClickButton,点击按钮,ed_clickUiTime,按钮点击时间,字符串,personal,0,30,30,,1763596799 | 1763596797 | 1763596795
User,ClickButton,点击按钮,ed_mainBuildingLevel,大本等级,数字,样本未发现,0,0,30,,
User,NewUserGuide,新手引导结束,ed_guideId,引导步骤ID,字符串,personal,0,30,30,,9901551 | 9901551 | 9901552
User,NewUserGuide,新手引导结束,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 23 | 23
User,NewUserGuide,新手引导结束,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
User,NewUserGuide,新手引导结束,ed_season,赛季,字符串,personal,0,30,30,,0 | 0 | 0
User,NewUserGuideStart,新手引导开始,ed_guideId,引导步骤ID,字符串,personal,0,30,30,,9901551 | 9901551 | 9901552
User,NewUserGuideStart,新手引导开始,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,9 | 23 | 23
User,NewUserGuideStart,新手引导开始,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
Activity,honorExpedition,荣耀远征,ed_mainBuildingLevel,大本等级,字符串,personal,0,30,30,,20 | 20 | 20
Activity,honorExpedition,荣耀远征,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,1 | 1 | 1
Activity,honorExpedition,荣耀远征,expeditionDungeon,当前关卡,字符串,personal,0,30,30,,71333 | 71332 | 71331
Activity,honorExpedition,荣耀远征,expeditionDungeonResult,结果 1：胜利 2：失败,字符串,personal,0,30,30,,2 | 1 | 1
Activity,honorExpedition,荣耀远征,expeditionId,战场ID,字符串,样本未发现,0,0,30,,
Activity,honorExpedition,荣耀远征,stageLevel,该战场的等级,字符串,样本未发现,0,0,30,,
User,DungeonMiniGame,探索副本小玩法,areaId,地块ID,字符串,样本未发现,0,0,0,,
User,DungeonMiniGame,探索副本小玩法,miniGameId,小玩法的Id,字符串,样本未发现,0,0,0,,
User,DungeonMiniGame,探索副本小玩法,operationQuantity,操作数量,字符串,样本未发现,0,0,0,,
User,DungeonMiniGame,探索副本小玩法,ed_mainBuildingLevel,大本等级,数字,样本未发现,0,0,0,,
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,instanceGuid,关卡唯一id,字符串,personal,0,30,30,,1763594294 | 1763594294 | 1763594284
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,instanceId,参与的PVE关卡ID,字符串,personal,0,30,30,,99100 | 99100 | 99057
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,npcClass,battleNPC表的npcClass,字符串,personal,0,30,30,,102 | 102 | 102
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,npcId,battleNPC表的NPC Id,字符串,personal,0,30,30,,9502644 | 9502643 | 9502742
User,PVEInstanceKeyNPCKill,PVE关卡精英NPC与BOSSNPC被击杀时记录,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,13 | 13 | 9
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,castType,施放方式,字符串,personal,0,30,30,,1 | 1 | 1
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,instanceGuid,关卡唯一id,字符串,personal,0,30,30,,1763595598 | 1763595598 | 1763595598
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,instanceId,参与的PVE关卡ID,字符串,personal,0,30,30,,99042 | 99042 | 99042
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,skillId,释放的技能id,字符串,personal,0,30,30,,34032001 | 34042001 | 34102001
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,skillType,技能类型枚举,字符串,personal,0,30,30,,2 | 2 | 2
User,PVEInstanceSkillCast,英雄主动释放技能时候打点,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,7 | 7 | 7
User,DungeonEventEnd,副本事件结束,dungeonGuid,副本唯一id,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,dungeonId,副本id,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,eventId,副本事件id,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,eventResult,副本事件结果,字符串,样本未发现,0,0,0,,
User,DungeonEventEnd,副本事件结束,eventTimes,副本事件耗时（单位秒）,字符串,样本未发现,0,0,0,,
User,MobStageResult,mob关卡通过情况,ed_mainBuildingLevel,大本等级,字符串,样本未发现,0,0,0,,
User,MobStageResult,mob关卡通过情况,ed_mobResult,进入关卡结果,字符串,样本未发现,0,0,0,,
User,MobStageResult,mob关卡通过情况,ed_mobStageId,mob关卡id,字符串,样本未发现,0,0,0,,
User,MobStageResult,mob关卡通过情况,ed_mobTime,mob关卡消耗时长（单位秒）,字符串,样本未发现,0,0,0,,
User,MobStageResult,mob关卡通过情况,ed_serverId,当前服务器ID,字符串,样本未发现,0,0,0,,
User,TimelineEnd,Timeline结束,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
User,TimelineEnd,Timeline结束,time,持续时间（从开始到结束，包括卡屏的时间）单位：秒,字符串,personal,0,30,30,,5 | 7 | 27
User,TimelineEnd,Timeline结束,timeline_name,TimeLine资源名字,字符串,personal,0,30,30,,Zombie_KongZhiShiBai | Zombie_BossPoHuai | Zombie_SangShiXiuCheKaiChe
User,TimelineEnd,Timeline结束,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,1 | 1 | 1
User,TimelineStart,Timeline开始,ed_serverId,当前服务器ID,字符串,personal,0,30,30,,2 | 2 | 2
User,TimelineStart,Timeline开始,timeline_name,TimeLine资源名字,字符串,personal,0,30,30,,Zombie_BossPoHuai | Zombie_KongZhiShiBai | Zombie_QianJin
User,TimelineStart,Timeline开始,ed_mainBuildingLevel,大本等级,数字,personal,0,30,30,,1 | 1 | 1
Login,Launch,游戏启动,height,分辨率高,字符串,样本未发现,0,0,30,,
